WaferID,BTM_X,BTM_Y,DMT_X,DMT_Y,BTM_Thickness,DMT_Thickness,Distance_mm,Thickness_Difference,Abs_Thickness_Difference
GL5KX072SEF7,-118.6,-3.6,-120.0,-3.0,12281,12314.87,1.523154621172787,-33.8700000000008,33.8700000000008
GL5KX072SEF7,0.0,127.4,0.0,126.0,12262,12300.97,1.4000000000000057,-38.969999999999345,38.969999999999345
GL5KX072SEF7,0.0,-134.7,0.0,-135.0,12252,12289.25,0.30000000000001137,-37.25,37.25
GL5KX072SEF7,-96.5,96.5,-96.0,96.0,12267,12302.03,0.7071067811865476,-35.030000000000655,35.030000000000655
GL5KX072SEF7,96.5,-96.5,96.0,-96.0,12248,12286.04,0.7071067811865476,-38.04000000000087,38.04000000000087
GL5KX072SEF7,136.2,19.3,135.0,18.0,12246,12280.65,1.769180601295406,-34.649999999999636,34.649999999999636
GL5KX072SEF7,71.2,127.4,72.0,126.0,12340,12353.26,1.6124515496597134,-13.260000000000218,13.260000000000218
GL5KX072SEF7,142.4,-36.4,141.0,-36.0,12365,12345.82,1.4560219778561088,19.18000000000029,19.18000000000029
GL5KX072SEF7,-136.2,-57.9,-135.0,-57.0,12520,12395.13,1.49999999999999,124.8700000000008,124.8700000000008
GL5KX072SEF7,-136.2,57.9,-135.0,57.0,12519,12397.89,1.49999999999999,121.11000000000058,121.11000000000058
GL5KX072SEF7,-57.9,-136.2,-57.0,-135.0,12526,12415.08,1.49999999999999,110.92000000000007,110.92000000000007
GL5KX072SEF7,-57.9,136.2,-57.0,135.0,12529,12404.94,1.49999999999999,124.05999999999949,124.05999999999949
GL5KX072SEF7,57.9,-136.2,57.0,-135.0,12501,12401.42,1.49999999999999,99.57999999999993,99.57999999999993
